Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01O13,ZSTK474,-0.209262428,0.066563235,-0.275825664
SK01O14,Anastrozole,-0.225539193,-0.334691804,0.109152612
SK01O15,Belinostat (PXD101),-0.614400504,-0.759979699,0.145579195
SK01O16,Exemestane,-0.164293474,-0.225481462,0.061187988
SK01O17,LAQ824 (Dacinostat),-1.25316513,-0.206378832,-1.046786298
SK01O18,PIK-75,-0.380468093,-0.073041767,-0.307426325
SK01O19,GDC-0879,-0.056152819,-0.120870885,0.064718067
SK01O20,Bleomycin Sulfate,-0.838094741,-0.541587519,-0.296507223
SK01O21,GSK690693,-0.477704936,-0.4136093,-0.064095637
SK01O22,Oxaliplatin,-0.48442434,-0.259119277,-0.225305063
SK01O23,DMSO,-0.360777955,-0.009881333,-0.350896622
SK01O24,DMSO,0.232161808,0.39440171,-0.162239901
SK01P01,AG-1024 ,-0.085844376,-0.071253125,-0.014591251
SK01P02,Nafamostat Mesylate,-0.862332248,-0.145409704,-0.716922545
SK01P03,Enzalutamide (MDV3100),-0.096503302,-0.41639212,0.319888818
SK01P04,Resveratrol,-0.824260628,-0.346676677,-0.477583951
SK01P05,Cinacalcet HCl,-0.317443607,-0.440852075,0.123408468
SK01P06,Linezolid,-1.104103322,-1.174984423,0.070881101
SK01P07,BX-795,-0.346123544,-0.342481701,-0.003641843
SK01P08,Sumatriptan Succinate,-0.239151032,-0.331526464,0.092375431
SK01P09,Benazepril HCl,-0.41179362,-0.100651205,-0.311142415
SK01P10,Ziprasidone HCl,-0.062854335,0.10014791,-0.163002245
SK01P11,Epothilone A,-0.239974999,0.021774621,-0.26174962
SK01P12,Atazanavir Sulfate,0.253411947,0.192191723,0.061220225
SK01P13,Costunolide,0.12451621,0.508276305,-0.383760095
SK01P14,Calcifediol,0.111859847,0.335295099,-0.223435252
SK01P15,Flumazenil,0.131897583,0.358647379,-0.226749796
SK01P16,Daclatasvir (BMS-790052),-1.39755113,0.352598429,-1.750149559
SK01P17,TG100-115,0.160670035,0.396698013,-0.236027979
SK01P18,Ponatinib (AP24534),-0.557915063,-0.066823562,-0.491091501
SK01P19,Rigosertib (ON-01910),0.036822413,0.394534447,-0.357712034
SK01P20,Lactulose ,-0.026826301,0.444858323,-0.471684624
